Company,Category,City,State,Country,"OUTSIDE 
USA",Website,LinkedIn,Crunchbase,Employees,"Year 
Founded",AKA/DBA,Name Variants,Acquired By,Original Categories,Source Sheets,# Sheets,Notes,REVIEW,Description,city_clean,state_clean,description,confidence,needs_review,scrape_status
3Laws,Robotics & Autonomy,Pasadena,CA,USA,,https://3laws.io/,https://www.linkedin.com/company/3laws/,https://www.crunchbase.com/organization/3laws-robotics,11,2022,,,,Develops a universal dynamic safety system for autonomous and human piloted robots. Offers a ROS version of 3Laws Supervisor (see 3Laws).,MASTER - Combined_Account Owner | ROBOTICS COMPANIES | Robotics,3,,,,Pasadena,CA,,low,True,blocked_or_timeout
5D Robotics,Robotics & Autonomy,Carlsbad,CA,USA,,https:/5drobotics.com/,,https://www.crunchbase.com/organization/5d-robotics,,2009,,,Humatics,"5D Robotics is a software company that accelerates human productivity and safety in an evolving, dynamic world.",MASTER - Combined_Account Owner | ROBOTICS COMPANIES | Robotics,3,,"Multi-category signal: Transportation & Mobility; Communications, Compute & Networking",,Carlsbad,CA,,low,True,blocked_or_timeout
3 Phoenix,Aerospace & Space,,,USA,,www.3phoenix.com,,,,,,,,,Aerospace & Defense ($10M+ reve,1,,Classified by source sheet only — verify,,,,,low,True,ok
1X Technologies,Robotics & Autonomy,Palo Alto,CA,USA,,https://www.1x.tech/,https://www.linkedin.com/company/1x-technologies/,https://www.crunchbase.com/organization/1x-technologies,578,2014,"Halodi Robotics, 1X TECHNOLOGIES",1X | Halodi Robotics,1X Technologies,Builds humanoid robots for real-world commercial applications; merged into 1X Technologies. | Develops and deploys humanoid robots for commercial and industrial work environments. | Humanoid AI Robot | Humanoids for everyday life | Produce humanoid robots. Cracking the code and engineered a safe solution (named EVE). ROS drivers for Halodi Robotics (see Halodi). | Robotics,ALL COMPANIES MERGED | MASTER - Combined_Account Owner | ROBOTICS COMPANIES | Robotics | SPACE & DEFENSE COMPANIES | Sheet1,6,,Multi-category signal: Transportation & Mobility,"1X Technologies is an AI and robotics company that develops general-purpose humanoid robots, including NEO, a home robot designed to handle household chores autonomously, and EVE, an industrial humanoid deployed in factory settings.",Palo Alto,CA,"1X Technologies is an AI and robotics company that develops general-purpose humanoid robots, including NEO, a home robot designed to handle household chores autonomously, and EVE, an industrial humanoid deployed in factory settings.",high,False,ok
1AU,Defense,Austin,TX,USA,,https://www.1autechnologies.com/,,,,2025,,,,DEFENSE | Counter Drone | Directed Energy,DEFENSE COMPANIES,1,,,"1AU Technologies develops next-generation photonic systems, assembling specialized assets and capabilities in the photonics industry.",Austin,TX,"1AU Technologies develops next-generation photonic systems, assembling specialized assets and capabilities in the photonics industry.",low,False,ok
A-T Solutions,Aerospace & Space,,,USA,,www.a-tsolutions.com,,,,,,,,,Aerospace & Defense ($10M+ reve,1,,Classified by source sheet only — verify,,,,,low,True,blocked_or_timeout
3D Systems,Advanced Manufacturing,Rock Hill,SC,USA,,http://www.3dsystems.com/,https://www.linkedin.com/company/3d-systems/,https://www.crunchbase.com/organization/3d-systems,3449,,3D Systems Corporation,,,Manufacturing Platforms,ALL COMPANIES MERGED ,1,,,"3D Systems develops and sells a broad portfolio of 3D printing hardware, materials, and software for industrial and healthcare applications, including plastic and metal additive manufacturing systems, dental and medical devices, and related professional services.",Rock Hill,SC,"3D Systems develops and sells a broad portfolio of 3D printing hardware, materials, and software for industrial and healthcare applications, including plastic and metal additive manufacturing systems, dental and medical devices, and related professional services.",low,False,ok
10x Genomics,Medical Devices,Pleasanton,CA,USA,,www.10xgenomics.com,http://www.linkedin.com/company/10xgenomics,https://www.crunchbase.com/organization/10x-genomics,2298,,,,,,ALL COMPANIES MERGED ,1,,,"10x Genomics develops genomics instruments, reagents, and software for single-cell and spatial biology research, enabling scientists to analyze gene expression, chromatin accessibility, and protein levels at single-cell resolution across applications such as oncology, immunology, and neuroscience.",Pleasanton,CA,"10x Genomics develops genomics instruments, reagents, and software for single-cell and spatial biology research, enabling scientists to analyze gene expression, chromatin accessibility, and protein levels at single-cell resolution across applications such as oncology, immunology, and neuroscience.",low,False,ok
A. Harold & Associates LLC,Aerospace & Space,,,USA,,aha-llc.com,http://www.linkedin.com/company/a--harold-&-associates-llc,,,,,,,,Aerospace & Defense ($10M+ reve,1,,Classified by source sheet only — verify,,,,,low,True,blocked_or_timeout
1PointFive,Energy & Climate,Houston,TX,USA,,https://www.1pointfive.com/,https://www.linkedin.com/company/1pointfive/,https://www.crunchbase.com/organization/1pointfive,33,,,,,Carbon Capture,ALL COMPANIES MERGED ,1,Subsidiary of Occidental Petroleum,,"1PointFive develops large-scale Direct Air Capture (DAC) facilities and geologic carbon sequestration hubs to remove CO2 from the atmosphere and store it underground, providing carbon dioxide removal credits and sequestration services to industrial, aviation, and maritime sectors.",Houston,TX,"1PointFive develops large-scale Direct Air Capture (DAC) facilities and geologic carbon sequestration hubs to remove CO2 from the atmosphere and store it underground, providing carbon dioxide removal credits and sequestration services to industrial, aviation, and maritime sectors.",low,False,ok
